1099;348;10;280;Germany
1236;186;4;275;Germany
1209;173;10;205;Brazil
1404;256;9;128;Brazil
1109;168;18;122;Brazil
1065;424;11;143;United Kingdom
1461;458;19;265;Germany
1273;238;14;168;United Kingdom
1017;291;4;104;Germany
1297;485;5;252;Brazil
1152;216;11;185;Belgium
1239;167;17;113;Germany
1210;176;6;109;Brazil
1098;178;3;236;Belgium
1137;296;7;185;United Kingdom
1178;139;6;104;United Kingdom
1488;282;5;259;Brazil
1083;262;19;282;Germany
1446;453;6;131;Germany
1181;220;4;258;Brazil
1410;409;18;264;Germany
1474;136;6;296;Brazil
1169;263;6;242;Belgium
1498;197;18;282;United Kingdom
1121;135;13;173;Germany
1081;422;12;298;Germany
1036;169;16;252;Belgium
1424;385;6;298;Belgium
1498;414;16;157;Germany
1234;252;8;229;United Kingdom
1017;307;4;116;United Kingdom
1016;221;13;252;Belgium
1334;204;4;288;United Kingdom
1443;464;19;289;Brazil
1149;211;10;129;United Kingdom
1417;255;6;251;Brazil
1006;275;7;136;Brazil
1186;333;9;183;United Kingdom
1105;310;16;197;Germany
1439;138;3;162;United Kingdom
1073;188;10;245;Belgium
1131;338;4;125;United Kingdom
1050;389;4;155;Brazil
1152;353;19;279;United Kingdom
1311;249;3;128;Brazil
1490;242;11;233;Germany
1420;163;18;197;Brazil
1319;439;18;154;United Kingdom
1007;253;7;110;Brazil
1089;293;3;259;Brazil
1215;307;18;125;United Kingdom
1438;120;13;108;Brazil
1267;190;5;219;Germany
1307;142;16;151;Belgium
1475;236;17;184;Germany
1443;154;14;245;Germany
1293;380;3;255;United Kingdom
1246;209;6;247;United Kingdom
1182;197;4;225;Germany
1159;190;4;299;Belgium
1021;167;16;144;Belgium
1421;199;11;246;Brazil
1102;413;7;280;United Kingdom
1166;420;17;163;United Kingdom
1097;431;16;117;Germany
1350;467;5;111;Belgium
1379;432;15;287;United Kingdom
1429;135;5;102;United Kingdom
1446;457;14;160;Brazil
1047;265;7;189;United Kingdom
1427;254;8;251;Brazil
1355;386;6;127;Germany
1313;167;14;178;United Kingdom
1348;134;7;175;Belgium
1433;152;8;287;Brazil
1051;437;7;256;Germany
1075;372;15;256;Brazil
1157;475;11;232;Brazil
1163;220;13;243;Brazil
1101;148;19;177;Germany
1377;461;4;108;United Kingdom
1046;133;7;127;Germany
1317;435;16;281;Brazil
1464;298;11;298;Brazil
1431;321;4;241;Brazil
1295;299;7;109;Germany
1128;412;7;142;Germany
1329;131;5;140;Belgium
1077;403;16;207;United Kingdom
1019;491;9;242;Belgium
1045;498;18;221;Belgium
1014;171;8;249;Belgium
1269;405;15;152;Germany
1091;118;10;126;United Kingdom
1397;418;13;149;Germany
1055;439;19;155;Germany
1227;281;15;150;Brazil
1092;438;17;225;Brazil
1079;188;10;247;Brazil
1146;142;17;133;Germany
1231;261;10;183;Germany
1171;464;3;204;Belgium
1095;426;11;285;Germany
1363;481;17;197;Germany
1268;438;13;149;Germany
1358;185;10;114;United Kingdom
1095;417;8;247;Brazil
1331;362;10;130;Belgium
1353;361;19;294;Belgium
1498;439;16;200;Germany
1231;490;10;210;Belgium
1216;488;18;298;United Kingdom
1257;480;11;297;Brazil
1281;189;3;225;Brazil
1178;210;3;298;Germany
1367;344;9;121;Brazil
1267;491;10;192;Brazil
1109;309;13;165;Germany
1234;260;18;227;United Kingdom
1244;173;7;197;Brazil
1133;340;18;271;Brazil
1209;434;17;254;Belgium
1278;486;17;229;Brazil
1207;172;10;220;Germany
1185;382;11;121;United Kingdom
1134;242;3;191;Germany
1042;211;4;139;United Kingdom
1119;111;5;251;Belgium
1319;441;5;288;United Kingdom
1147;308;15;288;Brazil
1450;466;12;167;United Kingdom
1092;291;7;250;Brazil
1143;264;18;278;Germany
1457;352;9;236;Belgium
1187;205;8;126;Brazil
1114;277;19;132;Germany
1021;420;5;135;Germany
1384;385;15;117;Germany
1421;147;16;198;Brazil
1074;236;9;291;Brazil
1366;411;3;218;Germany
1083;114;12;155;United Kingdom
1375;242;16;262;Belgium
1257;169;7;175;Brazil
1387;252;7;250;United Kingdom
1466;337;15;117;Brazil
1013;314;17;154;Belgium
1346;341;11;282;Belgium
1484;292;6;282;Germany
1115;492;4;119;Brazil
1345;231;19;223;Germany
1078;236;7;183;Germany
1347;220;15;273;Brazil
1473;249;7;151;United Kingdom
1060;202;16;106;Brazil
1413;200;8;151;United Kingdom
1344;144;16;123;Germany
1210;276;3;224;Germany
1439;462;13;121;Germany
1048;199;9;284;United Kingdom
1098;431;15;159;United Kingdom
1494;308;11;284;Germany
1058;220;16;137;Germany
1082;413;18;136;Brazil
1250;135;13;207;Belgium
1367;368;11;142;Belgium
1175;365;14;115;Belgium
1439;262;16;188;Brazil
1231;399;11;238;Belgium
1165;324;15;220;Belgium
1081;344;5;282;Brazil
1139;134;3;118;Germany
1423;268;16;209;Germany
1433;431;9;227;Germany
1336;223;17;298;Brazil
1472;342;7;163;Brazil
1035;278;13;157;Belgium
1092;188;19;165;United Kingdom
1460;252;17;233;Germany
1338;229;5;172;United Kingdom
1353;237;6;283;Belgium
1107;326;18;222;United Kingdom
1120;292;13;245;Germany
1283;267;11;231;Brazil
1349;195;8;286;United Kingdom
1164;408;14;117;Germany
1357;221;3;275;United Kingdom
1370;126;4;297;Brazil
1021;208;3;121;Germany
1249;426;17;189;Brazil
1085;422;7;109;Brazil
1240;375;14;129;Belgium
1107;254;3;204;Belgium
1339;217;19;278;Brazil
1337;321;14;236;Belgium
1454;422;4;235;Brazil
1046;177;4;237;Germany
1280;179;9;204;Belgium
1048;145;10;285;Belgium
1401;258;15;228;Brazil
1448;485;12;227;United Kingdom
1348;141;13;141;United Kingdom
1055;221;17;122;Brazil
1455;431;10;269;Belgium
1197;409;9;280;United Kingdom
1463;333;8;298;Germany
1112;106;15;113;Belgium
1137;467;11;104;Brazil
1316;441;7;122;United Kingdom
1375;259;19;224;Belgium
1043;270;10;267;Germany
1115;414;12;284;United Kingdom
1093;398;16;181;Brazil
1263;330;13;176;Belgium
1369;428;9;264;Brazil
1378;132;17;139;United Kingdom
1385;163;17;111;Germany
1269;391;12;111;Belgium
1340;432;19;120;Germany
1184;282;11;203;United Kingdom
1091;277;15;158;Germany
1378;464;9;153;Belgium
